中国平安保险（集团）股份有限公司 22.5711115279462   114.10669044974115
华为投资控股有限公司 22.54430356340319   114.06011618364182
正威国际集团有限公司 22.546379574090935   114.02574018771952
恒大集团有限公司 22.602077922039356   114.4871729585386
腾讯控股有限公司 22.549784587133733   114.09257241085935
招商银行股份有限公司 22.628057978030235   114.03189627537738
万科企业股份有限公司 22.60456402111108   114.3119340349654
深圳市投资控股有限公司 22.696319581162737   114.04967823294152
比亚迪股份有限公司 22.68676275765179   114.37078661026271
顺丰控股股份有限公司 22.688114197842545   114.15644552581972
平安银行股份有限公司 22.513835530620025   114.05193262044862
华侨城集团有限公司 22.5405769623679   113.99057601854305
招商局蛇口工业区控股股份有限公司 22.512217014204086   113.87660296801896
阳光保险集团股份有限公司 22.56388079548264   113.9087733544233
中国广核集团有限公司 22.548009785278683   114.07390696982644
中兴通讯股份有限公司 22.542938843294408   113.95450959131267
中国国际海运集装箱（集团）股份有限公司 22.483817284529724   113.91820250803622
立讯精密工业股份有限公司 22.725414358218327   113.78915777750123
神州数码集团股份有限公司 22.534200772945425   113.97596130654495
金地（集团）股份有限公司 22.706366405827445   114.12198077731308
富德生命人寿保险股份有限公司 22.655858349548275   114.03361114059537
深圳市龙光控股有限公司 22.55539572632786   113.89247557722226
深圳市怡亚通供应链股份有限公司 22.70046626323252   114.1025980393307
深圳市爱施德股份有限公司 22.54849452234792   113.96211042372174
中信银行股份有限公司信用卡中心 22.541299558904726   114.05683215835953
国药集团一致药业股份有限公司 22.56924355873101   114.10830578270867
中国燃气控股有限公司 22.535586026570595   114.07627903535531
佳兆业集团（深圳）有限公司 22.545482015021697   114.10477310646128
天音通信有限公司 22.532873673602865   113.98123391073403
中信证券股份有限公司 22.562066961498438   114.07781702421842
研祥高科技控股集团有限公司 22.548879206591035   114.07023829012489
康佳集团股份有限公司 22.574812349121714   113.96010630412962
欧菲光集团股份有限公司 22.47868818965663   113.91700515662238
TCL华星光电技术有限公司 22.740101391482916   113.9292289386759
心里程控股集团有限公司 22.547272287360062   114.07837990245079
深圳金雅福控股集团有限公司 22.548351996977665   114.12100899041272
深圳市中农网有限公司 22.524476896686068   114.05197609843529
深圳市海王生物工程股份有限公司 22.56541626522524   113.94714240816667
大悦城控股集团股份有限公司 22.562914265855046   113.91504164043931
深圳传音控股股份有限公司 22.54503690497776   113.96091217400237
深圳前海微众银行股份有限公司 22.535678243204025   113.9606632909421
创维集团有限公司 22.54290621468399   113.9602743770905
卓越置业集团有限公司 22.53789800600918   114.07052197500485
深圳市信利康供应链管理有限公司 22.573259548256495   114.12977824879822
深圳市中金岭南有色金属股份有限公司 22.54156384519153   114.03323978109766
鹏鼎控股（深圳）股份有限公司 22.5551963844351   113.88591453344067
欣旺达电子股份有限公司 22.7072954087612   113.97381076315479
天马微电子股份有限公司 22.704684332525677   114.32312045381636
信义玻璃控股有限公司 22.549784587133733   114.09257241085935
深圳中电港技术股份有限公司 22.54090700895683   114.03391997802959
太平财产保险有限公司 22.54708536713663   114.12764890541807
中建科工集团有限公司 22.54803582043445   114.03695148963311
中铁南方投资集团有限公司 22.544217361295594   114.09597393450231
深圳华强集团有限公司 22.54684237046329   114.09290433474519
中电建生态环境集团有限公司 22.693949193704057   113.79238610784193
深圳市富森供应链管理有限公司 22.578666993145024   114.06959097117462
深圳市天行云供应链有限公司 22.529523153540794   113.94339099452769
深圳迈瑞生物医疗电子股份有限公司 22.522102677834646   113.93342743896707
深圳市地铁集团有限公司 22.61874997321143   114.03725996774513
深圳能源集团股份有限公司 22.53584306347042   114.07044355293385
深圳市兆驰股份有限公司 22.644881858753745   114.14104569480615
中国烟草总公司深圳市公司 22.542968968423953   114.06054898723637
深业集团有限公司 22.53698219845071   114.02904101131486
深圳市德赛电池科技股份有限公司 22.55413249958616   114.05497940324581
国信证券股份有限公司 22.732644075284714   114.25816371291965
中国建筑第二工程局有限公司华南分公司 22.51219706537513   114.06254942377588
瑞声声学科技（深圳）有限公司 22.5600766560176   113.94655884668352
深圳市天健（集团）股份有限公司 22.535785647477642   114.07717779001773
中建二局第二建筑工程有限公司 22.572041957120796   113.90029721312561
中国建筑第八工程局有限公司南方分公司 22.654061917663313   114.08418583062097
广深铁路股份有限公司 22.548456637984177   114.06455183658751
恩斯迈电子（深圳）有限公司 22.667604985318565   113.92027804291635
深圳市宝德投资控股有限公司 22.696319581162737   114.04967823294152
深圳中电投资股份有限公司 22.688129286014334   113.99746620146342
中海建筑有限公司 22.519632852192576   113.92093461441337
普联技术有限公司 22.546852550964477   113.95262961754202
深圳市燃气集团股份有限公司 22.744768431614016   114.24081743352771
深圳长城开发科技股份有限公司 22.567835035108263   114.07628298789955
中国长城科技集团股份有限公司 22.546714112772662   113.9527395701364
深圳市全药网药业有限公司 22.546231872790568   113.94803370689337
华润三九医药股份有限公司 22.692556633203115   114.06355831069381
健康元药业集团股份有限公司 22.637480091632217   113.93845768032962
深圳市华富洋供应链有限公司 22.558726002868973   113.98807001566271
深圳市特发集团有限公司 22.5473062500696   114.07817931083048
格林美股份有限公司 22.555399397753874   113.88582173848151
深圳广田集团股份有限公司 22.55070598298733   114.13017404220578
中国华西企业有限公司 22.62727913145772   114.03855487513734
深圳市深粮控股股份有限公司 22.66094251059911   114.13381020324788
深圳市裕同包装科技股份有限公司 22.789974767180677   114.30857203676487
深圳乐信控股有限公司 22.54352799282053   113.95140001696035
深圳市汇川技术股份有限公司 22.585749032167065   113.92799403809175
深圳市新南山控股（集团）股份有限公司 22.4849284684676   113.90229100220435
