year,month,day,amount
2022,12,13,111
2022,12,12,98
2022,12,11,5
2022,12,10,7
2022,12,9,92
2022,12,8,107
2022,12,7,110
2022,12,6,98
2022,12,5,90
2022,12,4,5
2022,12,3,14
2022,12,2,95
2022,12,1,91
2022,11,30,103
2022,11,29,131
2022,11,28,114
2022,11,27,5
2022,11,26,9
2022,11,25,87
2022,11,24,86
2022,11,23,100
2022,11,22,108
2022,11,21,99
2022,11,20,3
2022,11,19,10
2022,11,18,102
2022,11,17,100
2022,11,16,78
2022,11,15,97
2022,11,14,110
2022,11,13,1
2022,11,12,10
2022,11,11,75
2022,11,10,104
2022,11,9,91
2022,11,8,96
2022,11,7,101
2022,11,6,7
2022,11,5,9
2022,11,4,95
2022,11,3,87
2022,11,2,88
2022,11,1,95
2022,10,31,101
2022,10,30,7
2022,10,29,17
2022,10,28,85
2022,10,27,107
2022,10,26,98
2022,10,25,102
2022,10,24,92
2022,10,23,1
2022,10,22,8
2022,10,21,90
2022,10,20,79
2022,10,19,108
2022,10,18,114
2022,10,17,74
2022,10,16,8
2022,10,15,10
2022,10,14,98
2022,10,13,88
2022,10,12,85
2022,10,11,92
2022,10,10,96
2022,10,9,99
2022,10,8,80
2022,10,7,5
2022,10,6,0
2022,10,5,0
2022,10,4,2
2022,10,3,1
2022,10,2,2
2022,10,1,5
2022,9,30,70
2022,9,29,87
2022,9,28,80
2022,9,27,83
2022,9,26,76
2022,9,25,2
2022,9,24,9
2022,9,23,88
2022,9,22,91
2022,9,21,93
2022,9,20,80
2022,9,19,88
2022,9,18,3
2022,9,17,11
2022,9,16,95
2022,9,15,91
2022,9,14,93
2022,9,13,110
2022,9,12,5
2022,9,11,4
2022,9,10,10
2022,9,9,79
2022,9,8,61
2022,9,7,54
2022,9,6,72
2022,9,5,86
2022,9,4,2
2022,9,3,7
2022,9,2,66
2022,9,1,59
2022,8,31,54
2022,8,30,55
2022,8,29,71
2022,8,28,3
2022,8,27,12
2022,8,26,89
2022,8,25,84
2022,8,24,97
2022,8,23,105
2022,8,22,84
2022,8,21,0
2022,8,20,0
2022,8,19,95
2022,8,18,84
2022,8,17,88
2022,8,16,83
2022,8,15,94
2022,8,14,4
2022,8,13,4
2022,8,12,79
2022,8,11,83
2022,8,10,88
2022,8,9,86
2022,8,8,84
2022,8,7,4
2022,8,6,4
2022,8,5,100
2022,8,4,106
2022,8,3,111
2022,8,2,84
2022,8,1,100
2022,7,31,9
2022,7,30,6
2022,7,29,115
2022,7,28,83
2022,7,27,69
2022,7,26,61
2022,7,25,86
2022,7,24,6
2022,7,23,10
2022,7,22,97
2022,7,21,94
2022,7,13,106
2022,7,12,97
2022,7,11,110
2022,7,10,3
2022,7,9,9
2022,7,8,119
2022,7,7,105
2022,7,6,99
2022,7,5,101
2022,7,4,103
2022,7,3,0
2022,7,2,3
2022,7,1,79
2022,6,30,99
2022,6,29,104
2022,6,28,92
2022,6,27,96
2022,6,26,8
2022,6,25,7
2022,6,24,99
2022,6,23,109
2022,6,22,116
2022,6,21,131
2022,6,20,119
2022,6,19,6
2022,6,18,14
2022,6,17,90
2022,6,16,100
2022,6,15,99
2022,6,14,110
2022,6,13,98
2022,6,12,6
2022,6,11,4
2022,6,10,98
2022,6,9,109
2022,6,8,121
2022,6,7,99
2022,6,6,118
2022,6,5,4
2022,6,4,1
2022,6,3,7
2022,6,2,98
2022,6,1,112
2022,5,31,113
2022,5,30,123
2022,5,29,5
2022,5,28,6
2022,5,27,120
2022,5,26,121
2022,5,25,131
2022,5,24,151
2022,5,23,101
2022,5,22,5
2022,5,21,6
2022,5,20,117
2022,5,19,133
2022,5,18,126
2022,5,17,117
2022,5,16,125
2022,5,15,7
2022,5,14,7
2022,5,13,123
2022,5,12,128
2022,5,11,104
2022,5,10,122
2022,5,9,101
2022,5,8,7
2022,5,7,92
2022,5,6,87
2022,5,5,58
2022,5,4,1
2022,5,3,0
2022,5,2,0
2022,5,1,0
2022,4,30,2
2022,4,29,114
2022,4,28,79
2022,4,27,65
2022,4,26,74
2022,4,25,48
